Time	P	T	E	Qls	Qmm
1984-01-01	4.1000	0.5000	0.2000	2640	0.6336
1984-01-02	15.9000	0.2000	0.2000	3440	0.8256
1984-01-03	0.8000	0.9000	0.3000	12200	2.9280
1984-01-04	0.0000	0.5000	0.3000	7600	1.8240
1984-01-05	0.0000	-1.6000	0.1000	6250	1.5000
1984-01-06	0.0000	0.9000	0.3000	5650	1.3560
1984-01-07	0.0000	3.5000	0.4000	5300	1.2720
1984-01-08	0.0000	4.4000	0.4000	4700	1.1280
1984-01-09	2.9000	7.0000	0.5000	3940	0.9456
1984-01-10	0.0000	6.4000	0.5000	5300	1.2720
1984-01-11	2.9000	5.8000	0.5000	5000	1.2000
1984-01-12	5.8000	5.8000	0.5000	6250	1.5000
1984-01-13	7.4000	5.4000	0.5000	6600	1.5840
1984-01-14	0.0000	3.2000	0.4000	6950	1.6680
1984-01-15	1.2000	4.8000	0.5000	4190	1.0056
1984-01-16	0.0000	6.3000	0.5000	4440	1.0656
1984-01-17	0.0000	5.2000	0.5000	6950	1.6680
1984-01-18	0.1000	2.6000	0.4000	6950	1.6680
1984-01-19	0.0000	2.4000	0.4000	5650	1.3560
1984-01-20	11.7000	4.3000	0.5000	5300	1.2720
1984-01-21	0.0000	-0.2000	0.2000	6600	1.5840
1984-01-22	0.0000	-2.4000	0.1000	3940	0.9456
1984-01-23	0.0000	-3.4000	0.1000	3940	0.9456
1984-01-24	3.0000	-2.2000	0.2000	4700	1.1280
1984-01-25	1.1000	-1.2000	0.2000	4700	1.1280
1984-01-26	13.9000	-0.2000	0.3000	5000	1.2000
1984-01-27	4.3000	1.9000	0.4000	13100	3.1440
1984-01-28	2.0000	0.8000	0.3000	15300	3.6720
1984-01-29	1.1000	-2.1000	0.2000	8300	1.9920
1984-01-30	0.6000	-5.4000	0.0000	8300	1.9920
1984-01-31	0.0000	-5.1000	0.0000	7600	1.8240
1984-02-01	5.6000	2.6000	0.4000	8300	1.9920
