呈村	上溪口	五城	黟县	岩前	儒村	休宁	石门	屯溪	参数	参数意义	
0.907	0.907	0.907	0.907	0.907	0.907	0.907	0.907	0.907	K	蒸散发折算系数	
0.532	0.532	0.532	0.532	0.532	0.532	0.532	0.532	0.532	B	流域蓄水容量分布曲线指数	
0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	C	深层散发系数	
113.14	113.14	113.14	113.14	113.14	113.14	113.14	113.14	113.14	WM	张力水容量	
20.7	20.7	20.7	20.7	20.7	20.7	20.7	20.7	20.7	WUM	上层张力水容量	
72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	72.7	WLM	下层张力水容量	
0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	IM	不透水面积比例	
23.782	23.782	23.782	23.782	23.782	23.782	23.782	23.782	23.782	SM	自由水容量	
0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	EX	流域自由水容量分布曲线指数	
0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	KG	地下水出流系数	
0.354	0.354	0.354	0.354	0.354	0.354	0.354	0.354	0.354	KI	壤中流出流系数	
0.127	0.127	0.127	0.127	0.127	0.127	0.127	0.127	0.127	CG	地下水消退系数	
0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	CI	壤中流消退系数	
2	2	2	2	2	2	2	2	2	L	河网汇流滞时	
0.939	0.939	0.939	0.939	0.939	0.939	0.939	0.939	0.939	CS	河网水流消退系数	

