H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.770
4	0	0.936
5	0	0.947
6	0	0.920
7	0	0.884
8	0	0.848
9	0	0.813
10	0	0.780
11	0	0.749
12	0	0.720
13	0	0.693
14	0	0.667
15	0	0.643
16	0	0.621
17	0	0.600
18	0	0.580
19	0	0.562
20	0	0.545
21	0	0.529
22	0	0.514
23	0	0.499
24	0	0.486
25	0	0.474
26	0	0.462
27	0	0.451
28	0	0.441
29	0	0.431
30	0	0.422
31	0	0.413
32	0	0.405
33	0	0.397
34	0	0.389
35	0	0.382
36	0	0.375
37	0	0.369
38	0	0.363
39	0	0.357
40	0	0.351
41	0	0.346
42	0	0.340
43	0	0.335
44	0	0.330
45	0	0.325
46	0	0.321
47	0	0.316
48	0	0.312
49	0	0.308
50	0	0.304
51	0	0.300
52	0	0.296
53	0	0.292
54	0	0.288
55	0	0.285
56	0	0.281
57	0	0.277
58	0	0.274
59	0	0.271
60	0	0.267
61	0	0.264
62	0	0.261
63	0	0.258
64	0	0.255
65	0	0.252
66	0	0.249
67	0	0.246
68	0	0.243
69	0	0.240
70	0	0.237
71	0	0.235
72	0	0.232
73	0	0.229
74	0	0.227
75	0	0.224
76	0	0.222
77	0	0.219
78	0	0.217
79	0	0.214
80	0	0.212
81	0	0.209
82	0	0.207
83	0	0.205
84	0	0.202
85	0	0.200
86	0	0.198
87	0	0.196
88	0	0.194
89	0	0.191
90	0	0.189
91	0	0.187
92	0	0.185
93	0	0.183
94	0	0.181
95	0	0.179
96	0	0.177
97	0	0.175
98	0	0.173
99	0	0.171
100	0	0.170
