H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	3.355
5	0	3.831
6	0	3.573
7	0	3.174
8	0	2.792
9	0	2.462
10	0	2.185
11	0	1.957
12	0	1.769
13	0	1.616
14	0	1.492
15	0	1.392
16	0	1.312
17	0	1.248
18	0	1.197
19	0	1.158
20	0	1.129
21	0	1.106
22	0	1.090
23	0	1.079
24	0	1.072
25	0	1.067
26	0	1.066
27	0	1.066
28	0	1.068
29	0	1.071
30	0	1.075
31	0	1.079
32	0	1.084
33	0	1.088
34	0	1.093
35	0	1.098
36	0	1.102
37	0	1.107
38	0	1.111
39	0	1.114
40	0	1.117
41	0	1.120
42	0	1.123
43	0	1.125
44	0	1.127
45	0	1.128
46	0	1.129
47	0	1.129
48	0	1.129
49	0	1.129
50	0	1.129
51	0	1.128
52	0	1.126
53	0	1.125
54	0	1.123
55	0	1.121
56	0	1.118
57	0	1.116
58	0	1.113
59	0	1.110
60	0	1.106
61	0	1.103
62	0	1.099
63	0	1.095
64	0	1.091
65	0	1.086
66	0	1.082
67	0	1.077
68	0	1.073
69	0	1.068
70	0	1.063
71	0	1.058
72	0	1.053
73	0	1.047
74	0	1.042
75	0	1.036
76	0	1.031
77	0	1.025
78	0	1.020
79	0	1.014
80	0	1.008
81	0	1.002
82	0	0.997
83	0	0.991
84	0	0.985
85	0	0.979
86	0	0.973
87	0	0.967
88	0	0.961
89	0	0.955
90	0	0.949
91	0	0.943
92	0	0.937
93	0	0.931
94	0	0.925
95	0	0.919
96	0	0.913
97	0	0.907
98	0	0.901
99	0	0.895
100	0	0.889
