H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	0.000
5	0	0.000
6	0	14.174
7	0	16.846
8	0	16.665
9	0	15.829
10	0	14.895
11	0	13.997
12	0	13.165
13	0	12.402
14	0	11.704
15	0	11.066
16	0	10.484
17	0	9.952
18	0	9.467
19	0	9.024
20	0	8.620
21	0	8.251
22	0	7.915
23	0	7.609
24	0	7.330
25	0	7.076
26	0	6.844
27	0	6.633
28	0	6.441
29	0	6.267
30	0	6.108
31	0	5.963
32	0	5.831
33	0	5.711
34	0	5.602
35	0	5.503
36	0	5.412
37	0	5.330
38	0	5.255
39	0	5.187
40	0	5.125
41	0	5.068
42	0	5.016
43	0	4.968
44	0	4.925
45	0	4.885
46	0	4.849
47	0	4.815
48	0	4.784
49	0	4.756
50	0	4.729
51	0	4.705
52	0	4.682
53	0	4.660
54	0	4.640
55	0	4.621
56	0	4.603
57	0	4.587
58	0	4.570
59	0	4.555
60	0	4.540
61	0	4.526
62	0	4.512
63	0	4.498
64	0	4.485
65	0	4.472
66	0	4.459
67	0	4.447
68	0	4.434
69	0	4.422
70	0	4.410
71	0	4.398
72	0	4.385
73	0	4.373
74	0	4.361
75	0	4.349
76	0	4.337
77	0	4.324
78	0	4.312
79	0	4.299
80	0	4.287
81	0	4.274
82	0	4.262
83	0	4.249
84	0	4.236
85	0	4.223
86	0	4.210
87	0	4.197
88	0	4.184
89	0	4.171
90	0	4.157
91	0	4.144
92	0	4.130
93	0	4.117
94	0	4.103
95	0	4.089
96	0	4.076
97	0	4.062
98	0	4.048
99	0	4.034
100	0	4.020
