H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.927
3	0	1.626
4	0	2.146
5	0	2.523
6	0	2.789
7	0	2.968
8	0	3.079
9	0	3.138
10	0	3.157
11	0	3.146
12	0	3.113
13	0	3.064
14	0	3.004
15	0	2.936
16	0	2.864
17	0	2.789
18	0	2.714
19	0	2.640
20	0	2.566
21	0	2.496
22	0	2.428
23	0	2.362
24	0	2.301
25	0	2.242
26	0	2.187
27	0	2.135
28	0	2.086
29	0	2.040
30	0	1.998
31	0	1.958
32	0	1.920
33	0	1.885
34	0	1.853
35	0	1.823
36	0	1.795
37	0	1.768
38	0	1.744
39	0	1.721
40	0	1.699
41	0	1.679
42	0	1.661
43	0	1.643
44	0	1.627
45	0	1.612
46	0	1.597
47	0	1.584
48	0	1.571
49	0	1.559
50	0	1.547
51	0	1.537
52	0	1.526
53	0	1.517
54	0	1.507
55	0	1.499
56	0	1.490
57	0	1.482
58	0	1.474
59	0	1.467
60	0	1.460
61	0	1.453
62	0	1.446
63	0	1.439
64	0	1.433
65	0	1.427
66	0	1.421
67	0	1.415
68	0	1.409
69	0	1.403
70	0	1.398
71	0	1.392
72	0	1.387
73	0	1.381
74	0	1.376
75	0	1.371
76	0	1.366
77	0	1.361
78	0	1.356
79	0	1.351
80	0	1.346
81	0	1.341
82	0	1.336
83	0	1.331
84	0	1.326
85	0	1.321
86	0	1.316
87	0	1.312
88	0	1.307
89	0	1.302
90	0	1.297
91	0	1.293
92	0	1.288
93	0	1.283
94	0	1.279
95	0	1.274
96	0	1.269
97	0	1.265
98	0	1.260
99	0	1.256
100	0	1.251
101	0	1.247
102	0	1.242
103	0	1.237
104	0	1.233
105	0	1.228
106	0	1.224
107	0	1.219
108	0	1.215
109	0	1.211
110	0	1.206
111	0	1.202
112	0	1.197
113	0	1.193
114	0	1.188
115	0	1.184
116	0	1.180
117	0	1.175
118	0	1.171
119	0	1.167
120	0	1.162
121	0	1.158
122	0	1.154
123	0	1.149
124	0	1.145
125	0	1.141
126	0	1.137
127	0	1.132
128	0	1.128
129	0	1.124
130	0	1.120
131	0	1.116
132	0	1.112
133	0	1.107
134	0	1.103
135	0	1.099
136	0	1.095
137	0	1.091
138	0	1.087
139	0	1.083
140	0	1.079
141	0	1.075
142	0	1.071
143	0	1.067
144	0	1.063
145	0	1.059
146	0	1.055
147	0	1.051
148	0	1.047
149	0	1.043
150	0	1.040
151	0	1.036
152	0	1.032
153	0	1.028
154	0	1.024
155	0	1.020
156	0	1.017
157	0	1.013
158	0	1.009
159	0	1.005
160	0	1.002
161	0	0.998
162	0	0.994
163	0	0.991
164	0	0.987
165	0	0.983
166	0	0.980
167	0	0.976
168	0	0.973
169	0	0.969
170	0	0.966
171	0	0.962
172	0	0.959
173	0	0.955
174	0	0.952
175	0	0.948
176	0	0.945
177	0	0.941
178	0	0.938
179	0	0.934
180	0	0.931
181	0	0.928
182	0	0.924
183	0	0.921
184	0	0.917
185	0	0.914
186	0	0.911
187	0	0.908
188	0	0.904
189	0	0.901
190	0	0.898
191	0	0.895
192	0	0.891
193	0	0.888
194	0	0.885
195	0	0.882
196	0	0.879
197	0	0.875
198	0	0.872
199	0	0.869
200	0	0.866
