H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	0.000
5	0	11.121
6	0	12.848
7	0	12.464
8	0	11.713
9	0	10.994
10	0	10.382
11	0	9.876
12	0	9.462
13	0	9.121
14	0	8.841
15	0	8.608
16	0	8.413
17	0	8.247
18	0	8.103
19	0	7.976
20	0	7.862
21	0	7.756
22	0	7.656
23	0	7.560
24	0	7.466
25	0	7.373
26	0	7.279
27	0	7.185
28	0	7.089
29	0	6.991
30	0	6.891
31	0	6.790
32	0	6.686
33	0	6.581
34	0	6.473
35	0	6.365
36	0	6.254
37	0	6.143
38	0	6.031
39	0	5.918
40	0	5.805
41	0	5.691
42	0	5.577
43	0	5.464
44	0	5.351
45	0	5.238
46	0	5.126
47	0	5.015
48	0	4.905
49	0	4.796
50	0	4.689
51	0	4.583
52	0	4.478
53	0	4.375
54	0	4.273
55	0	4.174
56	0	4.076
57	0	3.979
58	0	3.885
59	0	3.793
60	0	3.702
61	0	3.613
62	0	3.526
63	0	3.442
64	0	3.359
65	0	3.278
66	0	3.199
67	0	3.122
68	0	3.047
69	0	2.973
70	0	2.902
71	0	2.832
72	0	2.764
73	0	2.699
74	0	2.634
75	0	2.572
76	0	2.511
77	0	2.452
78	0	2.395
79	0	2.339
80	0	2.285
81	0	2.232
82	0	2.181
83	0	2.131
84	0	2.083
85	0	2.036
86	0	1.991
87	0	1.947
88	0	1.904
89	0	1.863
90	0	1.822
91	0	1.783
92	0	1.746
93	0	1.709
94	0	1.674
95	0	1.639
96	0	1.606
97	0	1.573
98	0	1.542
99	0	1.512
100	0	1.482
