H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	0.000
5	0	11.815
6	0	18.203
7	0	21.398
8	0	22.732
9	0	22.996
10	0	22.660
11	0	22.001
12	0	21.183
13	0	20.300
14	0	19.408
15	0	18.537
16	0	17.703
17	0	16.915
18	0	16.175
19	0	15.484
20	0	14.841
21	0	14.244
22	0	13.689
23	0	13.175
24	0	12.699
25	0	12.258
26	0	11.850
27	0	11.472
28	0	11.123
29	0	10.800
30	0	10.501
31	0	10.224
32	0	9.969
33	0	9.732
34	0	9.514
35	0	9.311
36	0	9.124
37	0	8.951
38	0	8.791
39	0	8.643
40	0	8.506
41	0	8.378
42	0	8.260
43	0	8.151
44	0	8.049
45	0	7.955
46	0	7.867
47	0	7.785
48	0	7.709
49	0	7.637
50	0	7.570
51	0	7.508
52	0	7.449
53	0	7.394
54	0	7.341
55	0	7.292
56	0	7.245
57	0	7.201
58	0	7.158
59	0	7.118
60	0	7.079
61	0	7.041
62	0	7.005
63	0	6.970
64	0	6.936
65	0	6.903
66	0	6.870
67	0	6.838
68	0	6.807
69	0	6.776
70	0	6.746
71	0	6.716
72	0	6.686
73	0	6.657
74	0	6.627
75	0	6.598
76	0	6.569
77	0	6.539
78	0	6.510
79	0	6.481
80	0	6.451
81	0	6.421
82	0	6.392
83	0	6.362
84	0	6.332
85	0	6.302
86	0	6.271
87	0	6.241
88	0	6.210
89	0	6.179
90	0	6.148
91	0	6.116
92	0	6.085
93	0	6.053
94	0	6.021
95	0	5.989
96	0	5.956
97	0	5.924
98	0	5.891
99	0	5.858
100	0	5.825
