H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	0.000
5	0	0.000
6	0	8.025
7	0	11.073
8	0	11.963
9	0	11.938
10	0	11.544
11	0	11.019
12	0	10.467
13	0	9.930
14	0	9.425
15	0	8.958
16	0	8.529
17	0	8.136
18	0	7.778
19	0	7.452
20	0	7.156
21	0	6.886
22	0	6.641
23	0	6.419
24	0	6.218
25	0	6.037
26	0	5.873
27	0	5.725
28	0	5.591
29	0	5.471
30	0	5.364
31	0	5.268
32	0	5.182
33	0	5.105
34	0	5.037
35	0	4.976
36	0	4.922
37	0	4.875
38	0	4.834
39	0	4.797
40	0	4.766
41	0	4.738
42	0	4.715
43	0	4.695
44	0	4.677
45	0	4.663
46	0	4.651
47	0	4.641
48	0	4.633
49	0	4.626
50	0	4.621
51	0	4.618
52	0	4.615
53	0	4.613
54	0	4.612
55	0	4.611
56	0	4.611
57	0	4.612
58	0	4.613
59	0	4.613
60	0	4.615
61	0	4.616
62	0	4.617
63	0	4.618
64	0	4.618
65	0	4.619
66	0	4.620
67	0	4.620
68	0	4.620
69	0	4.619
70	0	4.619
71	0	4.617
72	0	4.616
73	0	4.614
74	0	4.612
75	0	4.609
76	0	4.606
77	0	4.603
78	0	4.599
79	0	4.594
80	0	4.589
81	0	4.584
82	0	4.578
83	0	4.572
84	0	4.566
85	0	4.559
86	0	4.551
87	0	4.544
88	0	4.535
89	0	4.527
90	0	4.518
91	0	4.508
92	0	4.499
93	0	4.488
94	0	4.478
95	0	4.467
96	0	4.456
97	0	4.444
98	0	4.433
99	0	4.420
100	0	4.408
