H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.866
4	0	1.304
5	0	1.480
6	0	1.502
7	0	1.438
8	0	1.331
9	0	1.208
10	0	1.083
11	0	0.966
12	0	0.861
13	0	0.769
14	0	0.691
15	0	0.625
16	0	0.570
17	0	0.526
18	0	0.490
19	0	0.462
20	0	0.440
21	0	0.423
22	0	0.410
23	0	0.400
24	0	0.393
25	0	0.388
26	0	0.386
27	0	0.384
28	0	0.383
29	0	0.384
30	0	0.384
31	0	0.386
32	0	0.387
33	0	0.389
34	0	0.390
35	0	0.392
36	0	0.394
37	0	0.395
38	0	0.397
39	0	0.398
40	0	0.399
41	0	0.400
42	0	0.401
43	0	0.401
44	0	0.402
45	0	0.402
46	0	0.402
47	0	0.402
48	0	0.401
49	0	0.401
50	0	0.400
51	0	0.399
52	0	0.398
53	0	0.397
54	0	0.396
55	0	0.394
56	0	0.392
57	0	0.391
58	0	0.389
59	0	0.387
60	0	0.385
61	0	0.383
62	0	0.380
63	0	0.378
64	0	0.376
65	0	0.373
66	0	0.371
67	0	0.368
68	0	0.365
69	0	0.362
70	0	0.360
71	0	0.357
72	0	0.354
73	0	0.351
74	0	0.348
75	0	0.345
76	0	0.342
77	0	0.339
78	0	0.336
79	0	0.332
80	0	0.329
81	0	0.326
82	0	0.323
83	0	0.320
84	0	0.316
85	0	0.313
86	0	0.310
87	0	0.307
88	0	0.303
89	0	0.300
90	0	0.297
91	0	0.294
92	0	0.291
93	0	0.287
94	0	0.284
95	0	0.281
96	0	0.278
97	0	0.275
98	0	0.271
99	0	0.268
100	0	0.265
