H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	0.537
5	0	0.577
6	0	0.528
7	0	0.470
8	0	0.418
9	0	0.374
10	0	0.338
11	0	0.307
12	0	0.282
13	0	0.261
14	0	0.244
15	0	0.230
16	0	0.219
17	0	0.211
18	0	0.204
19	0	0.199
20	0	0.195
21	0	0.192
22	0	0.191
23	0	0.190
24	0	0.189
25	0	0.190
26	0	0.190
27	0	0.191
28	0	0.192
29	0	0.194
30	0	0.196
31	0	0.197
32	0	0.199
33	0	0.201
34	0	0.203
35	0	0.204
36	0	0.206
37	0	0.208
38	0	0.210
39	0	0.211
40	0	0.213
41	0	0.215
42	0	0.216
43	0	0.217
44	0	0.219
45	0	0.220
46	0	0.221
47	0	0.222
48	0	0.223
49	0	0.224
50	0	0.225
51	0	0.225
52	0	0.226
53	0	0.226
54	0	0.227
55	0	0.227
56	0	0.228
57	0	0.228
58	0	0.228
59	0	0.228
60	0	0.228
61	0	0.228
62	0	0.228
63	0	0.228
64	0	0.228
65	0	0.228
66	0	0.228
67	0	0.227
68	0	0.227
69	0	0.227
70	0	0.226
71	0	0.226
72	0	0.225
73	0	0.224
74	0	0.224
75	0	0.223
76	0	0.223
77	0	0.222
78	0	0.221
79	0	0.220
80	0	0.220
81	0	0.219
82	0	0.218
83	0	0.217
84	0	0.216
85	0	0.215
86	0	0.214
87	0	0.213
88	0	0.212
89	0	0.211
90	0	0.210
91	0	0.209
92	0	0.208
93	0	0.207
94	0	0.206
95	0	0.205
96	0	0.204
97	0	0.203
98	0	0.202
99	0	0.200
100	0	0.199
