H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	2.630
4	0	4.086
5	0	4.780
6	0	4.997
7	0	4.928
8	0	4.701
9	0	4.400
10	0	4.076
11	0	3.764
12	0	3.479
13	0	3.230
14	0	3.022
15	0	2.852
16	0	2.717
17	0	2.615
18	0	2.541
19	0	2.490
20	0	2.458
21	0	2.443
22	0	2.440
23	0	2.446
24	0	2.461
25	0	2.480
26	0	2.504
27	0	2.530
28	0	2.557
29	0	2.585
30	0	2.613
31	0	2.640
32	0	2.666
33	0	2.691
34	0	2.714
35	0	2.735
36	0	2.755
37	0	2.772
38	0	2.787
39	0	2.800
40	0	2.812
41	0	2.821
42	0	2.829
43	0	2.834
44	0	2.838
45	0	2.841
46	0	2.841
47	0	2.840
48	0	2.838
49	0	2.834
50	0	2.829
51	0	2.822
52	0	2.814
53	0	2.805
54	0	2.796
55	0	2.785
56	0	2.773
57	0	2.760
58	0	2.746
59	0	2.732
60	0	2.716
61	0	2.700
62	0	2.684
63	0	2.667
64	0	2.649
65	0	2.631
66	0	2.612
67	0	2.593
68	0	2.573
69	0	2.553
70	0	2.533
71	0	2.512
72	0	2.492
73	0	2.470
74	0	2.449
75	0	2.427
76	0	2.406
77	0	2.384
78	0	2.362
79	0	2.340
80	0	2.317
81	0	2.295
82	0	2.273
83	0	2.250
84	0	2.228
85	0	2.205
86	0	2.183
87	0	2.160
88	0	2.138
89	0	2.116
90	0	2.093
91	0	2.071
92	0	2.049
93	0	2.027
94	0	2.005
95	0	1.983
96	0	1.961
97	0	1.939
98	0	1.918
99	0	1.896
100	0	1.875
