H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	0.000
5	0	40.374
6	0	58.282
7	0	65.069
8	0	66.420
9	0	65.177
10	0	62.758
11	0	59.867
12	0	56.848
13	0	53.867
14	0	51.000
15	0	48.278
16	0	45.712
17	0	43.300
18	0	41.038
19	0	38.917
20	0	36.929
21	0	35.065
22	0	33.318
23	0	31.679
24	0	30.142
25	0	28.699
26	0	27.344
27	0	26.071
28	0	24.875
29	0	23.750
30	0	22.692
31	0	21.696
32	0	20.759
33	0	19.875
34	0	19.042
35	0	18.256
36	0	17.515
37	0	16.815
38	0	16.153
39	0	15.527
40	0	14.935
41	0	14.375
42	0	13.844
43	0	13.341
44	0	12.864
45	0	12.411
46	0	11.981
47	0	11.572
48	0	11.183
49	0	10.813
50	0	10.460
51	0	10.125
52	0	9.804
53	0	9.498
54	0	9.207
55	0	8.928
56	0	8.661
57	0	8.406
58	0	8.161
59	0	7.927
60	0	7.702
61	0	7.487
62	0	7.280
63	0	7.081
64	0	6.890
65	0	6.707
66	0	6.530
67	0	6.360
68	0	6.196
69	0	6.038
70	0	5.886
71	0	5.738
72	0	5.596
73	0	5.459
74	0	5.327
75	0	5.199
76	0	5.075
77	0	4.955
78	0	4.838
79	0	4.726
80	0	4.617
81	0	4.511
82	0	4.409
83	0	4.309
84	0	4.213
85	0	4.119
86	0	4.028
87	0	3.940
88	0	3.854
89	0	3.771
90	0	3.690
91	0	3.611
92	0	3.535
93	0	3.460
94	0	3.388
95	0	3.317
96	0	3.248
97	0	3.182
98	0	3.116
99	0	3.053
100	0	2.991
