H	P	Q-sim
0	0	0.000
1	10	0.000
2	0	0.000
3	0	0.000
4	0	0.000
5	0	0.000
6	0	0.000
7	0	0.000
8	0	1.736
9	0	3.172
10	0	4.349
11	0	5.304
12	0	6.068
13	0	6.668
14	0	7.128
15	0	7.470
16	0	7.711
17	0	7.867
18	0	7.952
19	0	7.978
20	0	7.956
21	0	7.894
22	0	7.800
23	0	7.680
24	0	7.541
25	0	7.387
26	0	7.221
27	0	7.048
28	0	6.871
29	0	6.692
30	0	6.512
31	0	6.335
32	0	6.160
33	0	5.989
34	0	5.823
35	0	5.663
36	0	5.509
37	0	5.361
38	0	5.220
39	0	5.086
40	0	4.959
41	0	4.839
42	0	4.726
43	0	4.619
44	0	4.519
45	0	4.426
46	0	4.338
47	0	4.257
48	0	4.181
49	0	4.111
50	0	4.046
51	0	3.986
52	0	3.930
53	0	3.879
54	0	3.832
55	0	3.789
56	0	3.750
57	0	3.714
58	0	3.681
59	0	3.651
60	0	3.625
61	0	3.600
62	0	3.578
63	0	3.559
64	0	3.541
65	0	3.525
66	0	3.511
67	0	3.499
68	0	3.488
69	0	3.479
70	0	3.470
71	0	3.463
72	0	3.457
73	0	3.451
74	0	3.447
75	0	3.443
76	0	3.439
77	0	3.437
78	0	3.434
79	0	3.432
80	0	3.431
81	0	3.430
82	0	3.428
83	0	3.428
84	0	3.427
85	0	3.426
86	0	3.426
87	0	3.425
88	0	3.425
89	0	3.425
90	0	3.424
91	0	3.423
92	0	3.423
93	0	3.422
94	0	3.421
95	0	3.420
96	0	3.419
97	0	3.417
98	0	3.415
99	0	3.414
100	0	3.412
